region_id,region,zip
99763,98377; WA; Centralia; Lewis County; Randle,98377
99762,98376; WA; Jefferson County; Quilcene,98376
99761,98375,98375
99760,98374,98374
99759,98373,98373
99758,98372,98372
99757,98371,98371
99756,98370; WA; Bremerton-Silverdale; Kitsap County; Poulsbo,98370
99755,98368; WA; Jefferson County; Port Townsend,98368
99754,98367; WA; Bremerton-Silverdale; Kitsap County; Port Orchard,98367
99753,98366; WA; Bremerton-Silverdale; Kitsap County; Port Orchard,98366
99752,98365; WA; Jefferson County; Port Ludlow,98365
99750,98363; WA; Port Angeles; Clallam County,98363
99749,98362; WA; Port Angeles; Clallam County,98362
99748,98361; WA; Centralia; Lewis County; Packwood,98361
99747,98360; WA; Seattle-Tacoma-Bellevue; Pierce County; Orting,98360
99746,98359; WA; Bremerton-Silverdale; Kitsap County; Olalla,98359
99745,98358; WA; Jefferson County; Nordland,98358
99743,98356; WA; Centralia; Lewis County; Morton,98356
99742,98355; WA; Centralia; Lewis County; Mineral,98355
99741,98354; WA; Seattle-Tacoma-Bellevue; Pierce County; Milton,98354
99738,98351; WA; Seattle-Tacoma-Bellevue; Pierce County; Longbranch,98351
99736,98349; WA; Seattle-Tacoma-Bellevue; Pierce County; Lakebay,98349
99734,98346; WA; Bremerton-Silverdale; Kitsap County; Kingston,98346
99733,98345; WA; Bremerton-Silverdale; Kitsap County; Keyport,98345
99730,98342; WA; Bremerton-Silverdale; Kitsap County; Indianola,98342
99729,98340; WA; Bremerton-Silverdale; Kitsap County; Hansville,
99728,98339; WA; Jefferson County; Port Hadlock,98339
99727,98338; WA; Seattle-Tacoma-Bellevue; Pierce County; Graham,98338
99726,98337; WA; Bremerton-Silverdale; Kitsap County; Bremerton,98337
99725,98336; WA; Centralia; Lewis County; Glenoma,98336
99724,98335,98335
99723,98333; WA; Seattle-Tacoma-Bellevue; Pierce County; Fox Island,98333
99722,98332; WA; Seattle-Tacoma-Bellevue; Pierce County; Gig Harbor,98332
99721,98331; WA; Port Angeles; Clallam County; Forks,98331
99720,98330; WA; Seattle-Tacoma-Bellevue; Pierce County; Eatonville,98330
99719,98329; WA; Seattle-Tacoma-Bellevue; Pierce County; Gig Harbor,98329
99718,98328; WA; Seattle-Tacoma-Bellevue; Pierce County; Eatonville,98328
99717,98327,98327
99716,98326; WA; Port Angeles; Clallam County; Clallam Bay,98326
99715,98325; WA; Jefferson County; Chimacum,98325
99713,98323; WA; Seattle-Tacoma-Bellevue; Pierce County; Carbonado,98323
